250	0.210
251	0.209
252	0.209
253	0.209
254	0.208
255	0.208
256	0.208
257	0.207
258	0.207
259	0.207
260	0.207
261	0.206
262	0.206
263	0.206
264	0.205
265	0.205
266	0.205
267	0.204
268	0.205
269	0.204
270	0.204
271	0.204
272	0.203
273	0.204
274	0.203
275	0.203
276	0.203
277	0.203
278	0.203
279	0.203
280	0.203
281	0.203
282	0.202
283	0.202
284	0.202
285	0.202
286	0.202
287	0.202
288	0.202
289	0.202
290	0.201
291	0.201
292	0.201
293	0.201
294	0.201
295	0.201
296	0.201
297	0.201
298	0.201
299	0.201
300	0.201
301	0.200
302	0.201
303	0.200
304	0.200
305	0.200
306	0.200
307	0.200
308	0.200
309	0.200
310	0.200
311	0.200
312	0.200
313	0.200
314	0.200
315	0.200
316	0.200
317	0.199
318	0.199
319	0.199
320	0.199
321	0.200
322	0.199
323	0.200
324	0.199
325	0.199
326	0.199
327	0.199
328	0.199
329	0.199
330	0.199
331	0.199
332	0.199
333	0.199
334	0.199
335	0.199
336	0.199
337	0.199
338	0.199
339	0.199
340	0.199
341	0.199
342	0.199
343	0.199
344	0.199
345	0.199
346	0.199
347	0.199
348	0.199
349	0.199
350	0.199
351	0.199
352	0.199
353	0.199
354	0.199
355	0.199
356	0.199
357	0.199
358	0.199
359	0.199
360	0.199
361	0.199
362	0.199
363	0.199
364	0.199
365	0.199
366	0.199
367	0.199
368	0.199
369	0.199
370	0.199
371	0.199
372	0.199
373	0.199
374	0.199
375	0.200
376	0.199
377	0.199
378	0.199
379	0.199
380	0.199
381	0.199
382	0.199
383	0.200
384	0.200
385	0.200
386	0.200
387	0.200
388	0.200
389	0.200
390	0.200
391	0.200
392	0.201
393	0.201
394	0.201
395	0.201
396	0.201
397	0.201
398	0.201
399	0.201
400	0.201
401	0.201
402	0.201
403	0.201
404	0.201
405	0.201
406	0.201
407	0.201
408	0.201
409	0.202
410	0.202
411	0.202
412	0.202
413	0.202
414	0.202
415	0.202
416	0.202
417	0.202
